,xVal,yVal
1093,106,1222
1094,107,959
1095,107,960
1096,107,961
1097,107,979
1098,107,980
1099,107,1218
1100,107,1219
1101,107,1220
1102,107,1221
1103,107,1222
1104,107,1223
1105,107,1224
1106,108,959
1107,108,960
1108,108,979
1109,108,981
1110,108,1218
1111,108,1221
1112,109,959
1113,109,962
1114,109,979
1115,109,1218
1116,109,1220
1117,109,1222
1118,109,1223
1119,110,960
1120,110,978
1121,110,980
1122,110,1218
1123,110,1219
1124,110,1220
1125,110,1221
1126,110,1223
1127,111,960
1128,111,961
1129,111,980
1130,111,1218
1131,111,1220
1132,111,1223
1133,111,1224
1134,112,961
1135,112,980
1136,112,1218
1137,112,1220
1138,112,1222
1139,113,960
1140,113,1218
1141,113,1220
1142,113,1221
1143,113,1224
1144,114,961
1145,114,1218
1146,114,1220
1147,114,1221
1148,114,1223
1149,115,1218
1150,115,1220
1151,115,1222
1152,115,1223
1153,115,1224
1154,116,961
1155,116,1219
1156,116,1221
1157,116,1223
1158,116,1224
1159,117,961
1160,117,1219
1161,117,1222
1162,117,1224
1163,118,960
1164,118,962
1165,118,1219
1166,118,1220
1167,118,1222
1168,118,1223
1169,119,961
1170,119,1219
1171,119,1221
1172,119,1223
1173,119,1224
1174,120,1219
1175,120,1220
1176,120,1222
1177,120,1223
1178,120,1224
1179,120,1225
1180,121,1219
1181,121,1220
1182,121,1222
1183,121,1223
1184,121,1224
1185,121,1225
1186,122,962
1187,122,981
1188,122,1219
1189,122,1220
1190,122,1222
1191,122,1223
1192,122,1224
1193,122,1225
1194,123,962
1195,123,980
1196,123,981
1197,123,1219
1198,123,1220
1199,123,1222
1200,123,1223
1201,123,1224
1202,123,1225
1203,124,981
1204,124,982
1205,124,1219
1206,124,1220
1207,124,1222
1208,124,1223
1209,124,1224
1210,124,1225
1211,125,962
1212,125,980
1213,125,1219
1214,125,1220
1215,125,1222
1216,125,1223
1217,125,1224
1218,125,1225
1219,126,961
1220,126,981
1221,126,1219
1222,126,1220
1223,126,1222
1224,126,1223
1225,126,1224
1226,126,1225
1227,127,962
1228,127,980
1229,127,1219
1230,127,1220
1231,127,1222
1232,127,1223
1233,127,1224
1234,127,1225
1235,128,961
1236,128,981
1237,128,1219
1238,128,1222
1239,128,1223
1240,128,1224
1241,128,1225
1242,129,1220
1243,129,1221
1244,129,1223
1245,129,1224
1246,130,1223
1247,130,1225
1248,131,963
1249,131,1220
1250,131,1221
1251,131,1222
1252,131,1224
1253,132,964
1254,132,1220
1255,132,1221
1256,132,1223
1257,133,962
1258,133,963
1259,133,964
1260,133,983
1261,133,1219
1262,133,1222
1263,133,1224
1264,133,1225
1265,134,964
1266,134,981
1267,134,982
1268,134,983
1269,134,1219
1270,134,1221
1271,134,1222
1272,135,963
1273,135,964
1274,135,982
1275,135,983
1276,135,984
1277,135,1219
1278,135,1221
1279,135,1222
1280,135,1223
1281,135,1224
1282,135,1225
1283,136,961
1284,136,962
1285,136,963
1286,136,982
1287,136,983
1288,136,984
1289,136,1220
1290,136,1221
1291,136,1223
1292,136,1224
1293,136,1225
1294,137,961
1295,137,963
1296,137,980
1297,137,982
1298,137,1220
1299,137,1222
1300,138,962
1301,138,963
1302,138,983
1303,138,1221
1304,138,1222
1305,138,1223
1306,138,1224
1307,139,962
1308,139,963
1309,139,981
1310,139,982
1311,139,984
1312,139,1222
1313,139,1223
1314,139,1224
1315,139,1226
1316,140,961
1317,140,962
1318,140,983
1319,140,1219
1320,140,1220
1321,140,1221
1322,140,1222
1323,140,1225
1324,140,1226
1325,141,962
1326,141,982
1327,141,983
1328,141,1221
1329,141,1223
1330,141,1224
1331,141,1226
1332,142,962
1333,142,963
1334,142,980
1335,142,981
1336,142,1219
1337,142,1220
1338,142,1221
1339,142,1222
1340,142,1223
1341,142,1225
1342,143,961
1343,143,963
1344,143,964
1345,143,982
1346,143,1220
1347,143,1221
1348,143,1222
1349,143,1223
1350,143,1224
1351,143,1226
1352,144,962
1353,144,964
1354,144,1220
1355,144,1222
1356,144,1223
1357,144,1224
1358,144,1226
1359,145,981
1360,145,1220
1361,145,1221
1362,145,1223
1363,145,1225
1364,146,964
1365,146,981
1366,146,983
1367,146,984
1368,146,1220
1369,146,1222
1370,146,1224
1371,146,1226
1372,147,963
1373,147,982
1374,147,984
1375,147,1221
1376,147,1222
1377,147,1223
1378,147,1225
1379,147,1226
1380,148,963
1381,148,964
1382,148,981
1383,148,983
1384,148,1220
1385,148,1222
1386,148,1224
1387,148,1226
1388,149,962
1389,149,963
1390,149,964
1391,149,980
1392,149,981
1393,149,982
1394,149,983
1395,149,984
1396,149,1221
